2023-03-11 00:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:20,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:25,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:30,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:35,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:40,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:45,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:50,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 00:55,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:20,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:25,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:30,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:35,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:40,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:45,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:50,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 01:55,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:20,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:25,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:30,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:35,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:40,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:45,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:50,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 02:55,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:20,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:25,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:30,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:35,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:40,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:45,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:50,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 03:55,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:20,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:25,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:30,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:35,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:40,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:45,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:50,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 04:55,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:20,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:25,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:30,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:35,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:40,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:45,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:50,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 05:55,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 06:00,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 06:05,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 06:10,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 06:15,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-11 06:20,0,0,0,0,0,0,0,0,0,0,0,0
